Domain authority,SM_Ranking,Organic Trafic,Organic Keyword number,Paid Trafic,Paid keywords,Backlinks,Referring Domains,Pages/Visits,Average visit duration,Bounce rate
55,973,386.1K,167.1K,827,5,1.8M,9.4K,1.35,2:44,78.21%
50,1.2K,325.5K,48.2K,165K,3K,26.1K,1.9K,1.56,4:44,76.36%
66,1.5K,4.3M,472.3K,125.3K,817,97.2M,52K,32.67,47:18:00,28.38%
70,1.7K,2.9M,215.9K,111,2,16.1M,17K,1.54,10:00,72.78%
52,1.4K,250.6K,78.3K,0,0,35M,1.1K,2.73,3:27,77.47%
44,1.1K,347.6K,157.4K,951,8,8.1M,9.5K,1.93,7:19,75.05%
62,270,1.7M,336.2K,170.3K,2.5K,1.8M,2.9K,2.09,9:37,73.85%
90,815,34.1M,4.4M,2M,51.9K,153M,356.2K,2.59,7:34,53.02%
88,544,19.6M,3M,979.7K,13.9K,532.3M,196.5K,4.81,22:56,44.14%
96,47,173M,12.1M,4.5M,107.1K,196.1M,329.3K,7.26,11:49,30.07%
45,885,429.9K,26.3K,183.3K,744,151.1K,3.5K,3.92,2:34,21.83%
53,1.9K,457.2K,1.2M,2K,209,6.5M,12.7K,2.73,5:45,49.51%
45,866,445.5K,113.3K,1.4K,32,673.1K,4.3K,3.14,8:02,50.32%
44,3.4K,90.8K,40.2K,372,14,44.8K,3.2K,2.42,12:24,63.67%
74,774,4.9M,444.4K,227.5K,5.3K,2.5M,21K,3.21,6:59,47.84%
44,811,486.6K,88.1K,6.3K,131,376K,4.2K,1.53,4:56,77.07%
65,203,2.3M,585.4K,1K,4,4.2M,21.3K,1.64,6:25,73.92%
61,181,2.6M,474.2K,335.3K,6.5K,4.1M,10.3K,2.48,8:31,63.98%
41,2K,164.6K,28.6K,60.3K,1.3K,100.8K,3.9K,3.93,7:31,56.10%
56,466,924.2K,137.7K,585.5K,3.8K,48.5K,2.7K,2.29,7:03,74.34%
53,1.9K,189.4K,33.6K,612,15,862.4K,7.4K,3.98,6:46,40.66%
90,164,38.8M,1.8M,2M,39.3K,51M,136.2K,2.79,10:35,55.33%
83,941,18.8M,2.8M,968.9K,21.9K,100.9M,132.4K,3.45,10:10,46.15%
64,69,6.1M,466.1K,303.1K,7.4K,5.2M,9.5K,1.98,13:55,66.99%
85,1K,21.5M,2.5M,1.6M,39.3K,67.8M,125.9K,2.43,6:06,58.31%
74,87,4.7M,189.2K,404.5K,3.1K,4.4M,8.4K,4.76,7:27,36.20%
55,3.7K,495.5K,50.2K,3.5K,147,3.1M,12K,2.1,5:46,57.48%
49,3.8K,80K,18.7K,2.9K,32,1.2M,1.5K,1.73,12:08,67.75%
65,151,3.1M,371.1K,540.7K,6.2K,1.9M,9.5K,3.24,6:23,46.62%
58,313,1.5M,375.4K,925,10,397.3K,4.6K,1.22,4:48,86.59%
47,1.9K,177K,16.5K,162.5K,854,33.7K,2.7K,3.84,4:05,49.96%
45,1.2K,292.3K,26.6K,62.7K,448,46.3K,2.7K,1.53,5:18,78.37%
89,987,42.4M,975.5K,717.7K,1.8K,1.5B,141.7K,3.3,9:58,47.28%
100,72,333.7M,37.1M,4.9M,56.2K,11.5B,3.7M,1.84,9:31,65.91%
84,484,17.8M,1.5M,333.8K,2.2K,23.4M,33.8K,12.32,17:36,24.10%
74,99,4.4M,997.7K,18.3K,317,11.3M,17.1K,3.59,10:10,51.74%
67,2.3K,2.4M,382.5K,44.6K,803,12.5M,52.3K,2.26,5:11,54.13%
51,318,1.4M,275.9K,39.6K,199,4.3M,4.7K,3.32,6:07,45.99%
58,186,2.5M,485K,10.5K,977,7.9M,4.4K,1.69,8:11,82.06%
46,1.4K,246K,59.1K,16.1K,517,54.2M,4.2K,2.64,10:21,72.25%
42,1.4K,252.4K,115K,9K,82,558.7K,5.8K,1.27,9:05,84.30%
61,238,1.9M,260K,459.1K,4.5K,1.1M,7.6K,1.48,8:50,81.39%
61,238,1.9M,286.3K,459.3K,4.5K,1.1M,7.5K,1.48,8:50,81.39%
100,70,300.3M,13.3M,8K,69,237M,330.1K,2.19,36:46:00,55.67%
46,789,501.7K,57.8K,125.5K,2.3K,131.8K,3.5K,2.23,5:05,57.28%
65,340,1.3M,367.2K,5K,48,3.4M,14K,1.92,5:21,70.49%
38,1.8K,191.6K,90.8K,8.7K,856,351.5K,4.5K,4.53,7:34,43.28%
62,120,3.7M,437.1K,284.4K,8.5K,2.9M,7.1K,2.34,7:59,52.52%
53,657,635.1K,280.7K,183.6K,5.4K,5.1M,7.7K,1.92,2:09,58.10%
51,1.1K,349.4K,153.1K,76.1K,1.9K,3.5M,3.8K,2.42,9:57,66.16%
70,157,2.9M,250.1K,182.5K,3K,47.2M,16K,3.52,8:09,42.22%
62,312,1.5M,37.3K,26K,141,2.7M,5.6K,4.14,15:09,49.68%
71,121,3.7M,357.2K,20.1K,245,4.3M,4.5K,4.59,13:42,41.64%
38,2.5K,127K,30.3K,8.6K,90,118.9K,4.1K,5.41,8:25,43.06%
41,2.6K,120.4K,89.5K,761,18,332K,3K,1.85,5:40,61.26%
52,664,628.1K,67.9K,78.1K,383,191.3K,3K,4.96,7:44,24.40%
56,495,870.4K,340.4K,64,4,8.6M,13.4K,1.24,5:39,85.56%
96,1.8K,71.6M,12.8M,1.4K,106,59.9M,222.4K,1.91,10:24,67.07%
45,3K,101.6K,21.7K,688,34,90K,2K,2.87,6:40,46.95%
56,408,1.1M,83.7K,204.7K,3.4K,184.7K,4.6K,2.21,4:43,51.97%
44,2.2K,154.9K,97.3K,103,6,3.3M,8.1K,6.76,15:37,30.77%
39,3.8K,78.4K,60.1K,9,1,2.8M,17.7K,2.22,9:38,69.30%
59,254,1.8M,115.6K,121K,658,717.3K,5.6K,4.32,8:04,38.82%
93,418,48.2M,4.1M,936.8K,6.4K,255.5M,203.6K,2.84,6:49,54.99%
88,3.5K,18.4M,3.8M,73.8K,1K,25.2M,167.4K,3.82,5:31,36.55%
44,1.6K,215K,17.5K,3.9K,62,389.9K,1.4K,1.3,18:31,80.64%
